k,error,tiempo,muestra,estatus
5.0,0.2689389994133723,0.8566596508026123,0.1,Optimal
6.0,0.23965306826059912,1.165602445602417,0.1181818181818182,Optimal
6.0,0.22955246293942255,1.4551458358764648,0.13636363636363635,Optimal
5.0,0.21574659150011696,2.2119925022125244,0.15454545454545454,Optimal
5.0,0.2058056173968902,2.4589099884033203,0.17272727272727273,Optimal
6.0,0.20175779748014647,2.815978527069092,0.19090909090909092,Optimal
7.0,0.19815435358332978,3.969008445739746,0.2090909090909091,Optimal
7.0,0.19616823780538953,4.809055805206299,0.22727272727272727,Optimal
7.0,0.19036118620610937,5.260068416595459,0.24545454545454545,Optimal
7.0,0.18768219739261788,6.620515584945679,0.26363636363636367,Optimal
7.0,0.18609568473890864,11.778704404830933,0.28181818181818186,Optimal
7.0,0.18118790140661248,16.258466958999634,0.3,Optimal
